"filename", "language", "JSON", "JSON with Comments", "Log", "TypeScript", "PostCSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\jingc\Documents\8番出口\package-lock.json", "JSON", 2180, 0, 0, 0, 0, 0, 0, 0, 1, 2181
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 294, 0, 31, 325
"c:\Users\jingc\Documents\8番出口\src\components\AvatarGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 4, 38
"c:\Users\jingc\Documents\8番出口\src\components\AvatarPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 8, 52
"c:\Users\jingc\Documents\8番出口\src\components\DiscardPile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 14, 118
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 18, 106
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 267, 0, 30, 297
"c:\Users\jingc\Documents\8番出口\src\components\HandView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 9, 84
"c:\Users\jingc\Documents\8番出口\src\components\HomeMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"c:\Users\jingc\Documents\8番出口\src\components\HomeScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"c:\Users\jingc\Documents\8番出口\src\components\HomeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 6, 48
"c:\Users\jingc\Documents\8番出口\src\components\ManualScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 7, 130
"c:\Users\jingc\Documents\8番出口\src\components\MeldArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 10, 71
